twitter_followers,popularity,handle
192651,72,gretavanfleet
191921,60,camcountry
191864,74,yusufcatstevens
190927,21,crush9244
190122,77,lukasgraham
189287,65,davidgray
186127,67,naughtyboymusic
185921,56,pistolannies
185244,81,itsbennyblanco
185222,65,merlehaggard
184654,71,tayk
184339,62,claywalker
183040,64,joewalsh
182768,63,sevyn
181635,43,therealsambora
181590,69,theavettbros
181073,59,marcus_cooper
181023,65,youngbuck
180927,69,jonimitchell
180884,74,sheckwes
179315,64,mavado_gully
178494,54,davidleeroth
177031,60,john_fogerty
176917,67,jidenna
176462,71,twistagmg
175322,73,dianaross
175250,72,ohyesmario
173885,70,olivianj
172844,66,sammiealways
170628,67,itstonybennett
170483,65,walkofftheearth
168568,56,thereadyset
168527,60,itsbrittnicole
168157,75,santanacarlos
168036,56,dropolo
167260,59,knaan
166941,18,wearedelasoul
166009,73,sadeofficial
165844,73,landonvoncube
164998,70,lifehouse
164899,77,skynyrd
163738,65,echosmith
163545,69,papatinho
163461,56,katdeluna
162948,49,therealkoolgrap
161942,77,lauren_daigle
160618,73,wearemkto
159712,57,parmalee
159609,65,hotchellerae
159438,53,rosannecash
159297,67,breathecarolina
158285,46,orianthi
158143,73,ohwondermusic
157474,64,jossstone
156497,67,alabama_shakes
156161,44,katevoegele
155869,65,mgunderground
155563,76,remhq
155193,65,thecivilwars
154736,71,officialheart
153483,56,raheem_devaughn
153317,63,stanalexandra
152548,70,sagethegemini
152338,60,mrvegasmusic
147246,67,respektor
146108,79,vancejoy
146071,71,matchboxtwenty
145599,59,dawin
145143,13,nia_peeples
145080,72,mnek
144551,60,highvalley
142059,68,iyazlive
141559,60,elviscostello
140792,66,3oh3
140735,55,lacketylac
140724,78,andygrammer
140142,52,tjr
139623,60,dannygokey
138458,74,googoodolls
138291,80,jessiereyez
137622,68,carole_king
137116,72,tinaturner
137034,58,esterdean
135137,72,youngthegiant
134588,71,petshopboys
134473,64,iamsu
134069,73,foreignermusic
133550,74,tearsforfears
132887,49,smokienorful
132687,63,bobbyv
132170,58,sammyadams
131865,58,ericpaslay
131606,72,therejects
130752,64,secondhandjohn
130390,64,projectpathcp
129501,55,oakridgeboys
129296,67,officialskidrow
129267,76,direalshaggy
129070,64,feistmusic
128329,66,katebushmusic
127038,74,spicegirls
126542,44,djfellifel
126155,64,mohombi
126058,55,alexisjordan
125100,66,iamfoxes
124222,65,officialmoz
122882,71,iamchrislane
122723,59,craigcampbelltv
122379,64,theveronicas
120448,59,debbiegibson
120012,70,rachelplatten
119706,83,pedrocapo
119554,62,thebonnieraitt
118435,65,jacksons
118425,73,jacksons
117122,70,kimbramusic
116986,67,yellowcard
116002,61,devo
115702,52,chuckwicksmusic
115025,75,portugaltheman
114696,77,prince
114675,74,officialtlc
114658,68,janson_chris
113848,48,djhavanabrown
113581,81,abba
111370,77,earthwindfire
110964,67,benrector
110508,69,311
109810,76,the_cranberries
109141,71,julioiglesias
109029,57,alisonkrauss
108763,60,mr_mike_jones
108656,70,allmanbrothers
107649,61,frankieballard
107011,71,grouplove
106905,61,ralphtresvant
106507,68,cheaptrick
105969,57,thejoshthompson
105591,72,jamestaylor_com
105477,67,cashmerecat
105291,40,priscillabetti
104846,72,simplyredhq
104532,59,jimmybarnes
104364,70,mrprobz
104252,56,gracepotter
104239,48,gracepotter
103959,72,kennyloggins
103713,69,mbsings
103489,64,tracy_lawrence
103423,66,yesofficial
102195,66,skipmarley
101960,61,peterhollens
101888,54,george_clinton
101418,63,michaelraymusic
101338,61,chromeo
101226,71,m83
100965,72,bobseger
100530,67,styxtheband
100039,50,officialalbsure
99443,66,afi
99398,64,devishot
99123,62,kimwilde
